cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
6793mh8l,,Medline; WHO,Why Parents Still Hesitate to Vaccinate Their Children Against COVID-19.,10.1001/jama.2021.21625,,34910088.0,unk,,2021-12-15,"Suran, Melissa",JAMA,,,,,,https://doi.org/10.1001/jama.2021.21625; https://www.ncbi.nlm.nih.gov/pubmed/34910088/,245224518.0
x0zt0j23,,Medline; WHO,Response to: 'Presence of anti-phospholipid antibodies in COVID-19: a case series study' by Amezcua-Guerra et al.,10.1136/annrheumdis-2020-218145,,32753427.0,unk,,2020-08-04,"Mathian, Alexis; Pineton De Chambrun, Marc; Combes, Alain; Amoura, Zahir",Annals of the rheumatic diseases,,,,,,https://doi.org/10.1136/annrheumdis-2020-218145; https://www.ncbi.nlm.nih.gov/pubmed/32753427/,220964159.0
w7x3np5d,56b761b0bb19070f32c7cde197ab90d08860a744; d75ecf5fd80f143026cf72978273b3a281fe1670,Medline; PMC,Pragmatic study of a thromboprophylaxis algorithm in critically ill patients with SARS-COV-2 infection,10.1007/s11239-021-02514-3,PMC8233177,34173169.0,no-cc,"The optimal thromboprophylactic strategy for patients affected by Coronavirus disease 2019 (COVID-19) has been debated among experts. This study evaluated the safety and efficacy of a thromboprophylaxis algorithm. This was a retrospective, single-center study in critically ill patients admitted to the intensive care unit (University affiliated Hospital) for acute respiratory failure due to Severe Acute Respiratory Syndrome-Coronavirus 2 (SARS-CoV-2). From March 16 to April 9, 2020, thromboprophylaxis was adjusted according to weight (control group, n = 19) and after this date, thromboprophylaxis depended on an algorithm based on thrombotic and hemorrhagic risk factors (protocol group, n = 13). With regard to safety (number of major bleeding events and blood transfusions), the groups were not significantly different. With regard to efficacy, the number of thrombotic events decreased from 37 to 0%, p = 0.025 after implementation of the algorithm. Also, peak fibrinogen dropped from 8.6 (7.2–9.3) to 6.5 (4.6–8.4) g/L, p = 0.041 and D-dimers from 2194 (1464–3763) to 1486 (900–2582) ng/mL, p = 0.0001. In addition, length of stay declined from 19 (10–31) to 5 (3–19) days, p = 0.009. In conclusion, a tailored thromboprophylaxis algorithm (risk stratification based on clinical parameters and biological markers) reduce thrombotic phenomena in critically ill COVID-19 patients without increasing major bleeding. SUPPLEMENTARY INFORMATION: The online version of this article (10.1007/s11239-021-02514-3) contains supplementary material, which is available to authorized users.",2021-06-26,"Fattorutto, Maurizio; Bouckaert, Yves; Brauner, Jonathan; Franck, Stéphane; Bouton, Fabrice; Heuse, Danielle; Bouckaert, Charlotte; Bruyneel, Arnaud",J Thromb Thrombolysis,,,,document_parses/pdf_json/56b761b0bb19070f32c7cde197ab90d08860a744.json; document_parses/pdf_json/d75ecf5fd80f143026cf72978273b3a281fe1670.json,document_parses/pmc_json/PMC8233177.xml.json,https://doi.org/10.1007/s11239-021-02514-3; https://www.ncbi.nlm.nih.gov/pubmed/34173169/,235637984.0
c9tiljd7,2da5dba4b87e190a9093e0ac09a4cf8ad4a7410f,Medline; PMC; WHO,Sensitivity and identifiability analysis of COVID-19 pandemic models,10.18699/vj21.010,PMC8696171,35083396.0,cc-by,"The paper presents the results of sensitivity-based identifiability analysis of the COVID-19 pandemic spread models in the Novosibirsk region using the systems of differential equations and mass balance law. The algorithm is built on the sensitivity matrix analysis using the methods of differential and linear algebra. It allows one to determine the parameters that are the least and most sensitive to data changes to build a regularization for solving an identification problem of the most accurate pandemic spread scenarios in the region. The performed analysis has demonstrated that the virus contagiousness is identifiable from the number of daily confirmed, critical and recovery cases. On the other hand, the predicted proportion of the admitted patients who require a ventilator and the mortality rate are determined much less consistently. It has been shown that building a more realistic forecast requires adding additional information about the process such as the number of daily hospital admissions. In our study, the problems of parameter identification using additional information about the number of daily confirmed, critical and mortality cases in the region were reduced to minimizing the corresponding misfit functions. The minimization problem was solved through the differential evolution method that is widely applied for stochastic global optimization. It has been demonstrated that a more general COVID-19 spread compartmental model consisting of seven ordinary differential equations describes the main trend of the spread and is sensitive to the peaks of confirmed cases but does not qualitatively describe small statistical datasets such as the number of daily critical cases or mortality that can lead to errors in forecasting. A more detailed agent-oriented model has been able to capture statistical data with additional noise to build scenarios of COVID-19 spread in the region.",2021-02-03,"Krivorotko, O.I.; Kabanikhin, S.I.; Sosnovskaya, M.I.; Andornaya, D.V.",Vavilovskii Zhurnal Genet Selektsii,,,,document_parses/pdf_json/2da5dba4b87e190a9093e0ac09a4cf8ad4a7410f.json,,https://www.ncbi.nlm.nih.gov/pubmed/35083396/; https://doi.org/10.18699/vj21.010,233706878.0
0h76dxm9,,WHO,Dual Caregivers of Persons living with Dementia: The Added Stress of COVID-19 Pandemic,,,,unk,"Serving in dual caregiving roles presents challenges and has consequences for caregivers’ physical and mental health. Forty-six dual caregivers in rural southwest Virginia participated in one semi-structured telephone interview pre-pandemic. Of these caregivers, nine dual caregivers of multiple older adults (MOA) and six caregivers of multiple generations (MG) participated in two telephone interviews during the COVID-19 pandemic. Pre-pandemic health, stress, and support data were used to compare dual caregivers of MOA and MG;differences were minimal. Responses to interviews conducted during the pandemic highlighted the effects of social restrictions on MOA and MG caregivers, revealing five themes (1) Increased isolation, (2) Increased need for vigilance, (3) Negative impact on mental health, (4) Tendency to “do it all,” and (5) Increased informal help. MOA and MG caregivers differed on managing care responsibilities and ensuring the health of care recipients. In general, dual caregivers experienced decreased mental health, increased social isolation, and increased caregiving responsibilities. Antecedents of the pandemic experiences differentiated MOA and MG caregiver. Findings suggest that programs and services should target dual caregivers’ unique needs.",2022,"Atkinson, Emily Savla Jyoti Roberto Karen A.; Blieszner, Rosemary McCann Brandy R.; Knight, Aubrey L.",Gerontology & geriatric medicine,,#covidwho-1749268,,,,,247563680.0
n3qn6a65,80c400018c464902c5a7d21f1966fd49c27a24da; 5031b4fb39f3b9c303c4a761bc76669c454d1cbd,Medline; PMC,Disposable low-cost cardboard incubator for thermoregulation of stable preterm infant – a randomized controlled non-inferiority trial,10.1016/j.eclinm.2020.100664,PMC7846710,33554076,cc-by-nc-nd,"BACKGROUND: Incubators and radiant warmers are essential equipment in neonatal care, but the typical 1,500 to 35,000 USD cost per device makes it unaffordable for many units in low and middle-income countries. We aimed to determine whether stable preterm infants could maintain thermoregulation for 48 h in a low-cost incubator (LCI). METHODS: The LCI was constructed using a servo-heater costing 200 USD and cardboard infant-chamber. We conducted this open-labeled non-inferiority randomized controlled trial in a tertiary level teaching hospital in India from May 2017 to March 2018. Preterm infants on full feeds and receiving incubator or radiant warmer care were enrolled at 32 to 36 weeks post-menstrual age. We enrolled 96 infants in two strata (Strata-1< 33 weeks, Strata-2 ≥ 33 weeks at birth). Infants were randomized to LCI or standard single-wall incubator (SSI) after negative incubator cultures and monitored for 48 h in air-mode along with kangaroo mother care. The incubator temperature was adjusted manually to maintain skin and axillary temperatures between 36.5 °C and 37.5 °C. During post-infant period after 48 h, SSI and LCI worked for 5 days and incubator temperatures were measured. The primary outcome was maintenance of skin and axillary temperatures with a non-inferiority margin of 0.2 °C. Failed thermoregulation was defined as abnormal axillary temperature (< 36.5 °C or >37.5 °C) for > 30 continuous-minutes. Secondary outcomes were incidence of hypothermia and required incubator temperature. Trial registration details: Clinical Trial Registry - India (CTRI/2015/10/006316). FINDINGS: Prior to enrollment 79(82%) infants were in radiant warmer and 17(18%) infants were in incubator care. Median weight at enrollment in Strata-1 and Strata-2 for SSI vs. LCI was 1355(IQR 1250–1468) vs. 1415(IQR 1280–1582) and 1993(IQR 1595–2160) vs. 1995(IQR 1632–2237) grams. Mean skin temperature in Strata-1 and Strata-2 for SSI vs. LCI was 36.8 °C ± 0.2 vs. 36.7 °C ± 0.18 and 36.8 °C ± 0.22 vs. 36.7 °C ± 0.19. Mean axillary temperature in Strata-1 and Strata-2 for SSI vs. LCI was 36.9 °C ± 0.19 vs. 36.8 °C ± 0.16 and 36.8 °C ± 0.2 vs. 36.8 °C ± 0.19. Mixed-effect model done for repeated measures of skin and axillary temperatures showed the estimates were within the non-inferiority limit; -0.07 °C (95% CI -0.11 to -0.04) and -0.06 °C (95% CI -0.095 to -0.02), respectively. Failed thermoregulation did not occur in any infants. Mild hypothermia occurred in 11 of 48(23%) of SSI and 16 of 48(33%) of LCI, OR 1.28 (95%CI 0.85 to 1.91). Incubator temperature in LCI was higher by 0.7 °C (95%CI 0.52 to 0.91). In the post-infant period SSI and LCI had excellent reliability to maintain set-temperature with intra-class correlation coefficient of 0.93 (95%CI 0.92 to 0.94) and 0.96 (95%CI 0.96 to 0.97), respectively. INTERPRETATION: Maintenance of skin and axillary temperature of stable preterm infants in LCI along with kangaroo mother care was non-inferior to SSI, but at a higher incubator temperature by 0.7 °C. No adverse events occurred and LCI had excellent reliability to maintained set-temperature. FUNDING: Food and Drug Administration (Award number P50FD004895)",2020-12-07,"Chandrasekaran, Ashok; Amboiram, Prakash; Balakrishnan, Umamaheswari; Abiramalatha, Thangaraj; Rao, Govind; Jan, Shaik Mohammad Shafi; Rajendran, Usha Devi; Sekar, Uma; Thiruvengadam, Gayathri; Ninan, Binu",EClinicalMedicine,,,,document_parses/pdf_json/80c400018c464902c5a7d21f1966fd49c27a24da.json; document_parses/pdf_json/5031b4fb39f3b9c303c4a761bc76669c454d1cbd.json,document_parses/pmc_json/PMC7846710.xml.json,https://doi.org/10.1016/j.eclinm.2020.100664; https://www.ncbi.nlm.nih.gov/pubmed/33554076/,230571304.0
9kxz0jdd,,WHO,"Macrolides for the treatment of COVID-19: a living, systematic review./ Macrólidos para el tratamiento de COVID-19: Una revisión sistemática viva",,,,unk,"Objective: This living, systematic review aims to provide a timely, rigorous, and continuously updated summary of the evidence available on the role of macrolides for treating patients with COVID-19. Design: A living, systematic review. Database: We conducted searches in the centralized repository L·OVE (Living OVerview of Evidence). L·OVE is a platform that maps PICO questions to evidence from the Epistemonikos database. In response to the COVID-19 emergency, L·OVE was adapted to expand the range of evidence it covers and customized to group all COVID-19 evidence in one place. Today it is maintained through regular searches in 39 databases. Methods: We included randomized trials evaluating the effect of macrolides as monotherapy or in combination with other drugs versus placebo or no treatment in patients with COVID-19. Randomized trials evaluating macrolides in infections caused by other coronaviruses, such as MERS-CoV and SARS-CoV, and non-randomized studies in COVID-19 were searched in case we found no direct evidence from randomized trials. Two reviewers independently screened each study for eligibility, extracted data, and assessed the risk of bias. Measures included all-cause mortality; the need for invasive mechanical ventilation; extracorporeal membrane oxygenation, length of hospital stay, respiratory failure, serious adverse events, time to SARS-CoV-2 RT-PCR negativity. We applied the GRADE approach to assess the certainty of the evidence for each outcome. A living, web-based version of this review will be openly available during the COVID-19 pandemic. We will resubmit it every time the conclusions change or whenever there are substantial updates. Results: The search in the L·OVE platform retrieved 424 references. We considered 260 as potentially eligible and were reviewed in full texts. We included one randomized clinical trial that evaluated the use of azithromycin in combination with hydroxychloroquine compared to hydroxychloroquine alone in hospitalized patients with COVID 19. The estimates for all outcomes evaluated resulted in insufficient power to draw conclusions. The quality of the evidence for the main outcomes was low to very low. Conclusions: Macrolides in the management of patients with COVID 19 showed no beneficial effects compared to standard of care. The evidence for all outcomes is inconclusive. Larger trials are needed to determine the effects of macrolides on pulmonary and other outcomes in COVID-19 patients. Systematic review registration: PROSPERO Registration number: CRD42020181032 Protocol preprint DOI: 10.31219/osf.io/rvp59.",2020,"Verdejo, Catalina; Vergara-Merino, Laura; Meza, Nicolás; Pérez-Bracchiglione, Javier; Carvajal-Juliá, Natalia; Madrid, Eva; Rada, Gabriel; Rojas Reyes, María Ximena",Medwave,,#1000534,,,,,230602241.0
uulupl9t,41bc1f797e8d4bbc60f55896c72fc0272d7c0069,Medline; PMC,Detection and molecular characterization of two canine circovirus genotypes co-circulating in Vietnam,10.1080/01652176.2021.1967511,PMC8386738,34380001.0,cc-by,"BACKGROUND: Canine circovirus is reported in dogs in many countries, including the USA, China and Thailand. It has been detected in healthy dogs and dogs with diarrhea, hemorrhagic gastroenteritis, and vasculitis. It comprises five genotypes and is frequently found as a coinfection with canine parvovirus-2 (CPV-2). AIM: To characterize canine circovirus genotypes co-circulating with CPV-2 in Vietnam. METHOD: PCR assessment of 81 CPV-2-positive fecal samples from Vietnamese diarrheic dogs up to seven months of age for other viral enteric pathogens, including canine bocavirus, canine adenovirus, paramyxovirus, canine coronavirus, porcine circovirus-3 and canine circovirus. In addition, eight selected full genome sequences of Vietnamese canine circovirus were analyzed and used for phylogeny. RESULTS: In total 19.8% of samples were found to be positive for canine circovirus. Phylogeny revealed that the Vietnamese canine circovirus strains were clustered in two different genotypes (genotype-1 and -3). The genetic diversity among Vietnamese canine circovirus was 86.0–87.2%. The nucleotide discrepancy among both genotypes altered the deduced amino acid sequence in 14 and ten residues of the replicase and capsid proteins, respectively. Genetic recombination analysis revealed that the Vietnamese canine circovirus-6 strain has the American and Chinese canine circovirus as its major and minor parents, respectively. Only a single dog revealed triple detections of CPV-2c, Canine circovirus and canine adenovirus (1.2%). CONCLUSION: The co-circulation of two different genotypes of canine circovirus and CPV-2c in dogs in Vietnam has been illustrated. CLINICAL RELEVANCE: The mortality rate with CPV-2 only (22%) doubled in dogs with canine circovirus and CPV-2 co-infection.",2021-08-24,"Tuong, Nguyen Manh; Piewbang, Chutchai; Rungsipipat, Anudep; Techangamsuwan, Somporn",The veterinary quarterly,,,,document_parses/pdf_json/41bc1f797e8d4bbc60f55896c72fc0272d7c0069.json,document_parses/pmc_json/PMC8386738.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/34380001/; https://doi.org/10.1080/01652176.2021.1967511,236990471.0
piwbtehl,,Medline,COVID-19 and Heart Failure With Preserved Ejection Fraction.,10.1001/jama.2020.17445,,33001179,unk,,2020-09-30,"Freaney, Priya Mehta; Shah, Sanjiv J; Khan, Sadiya S",JAMA,,,,,,https://doi.org/10.1001/jama.2020.17445; https://www.ncbi.nlm.nih.gov/pubmed/33001179/,222145376.0
lk9vmt1f,,PMC,Inhibition of Phagocytosis and Interleukin‐1 Production in Pulmonary Macrophages From Rats With Sialodacryoadenitis Virus Infection,10.1002/jlb.44.2.87,PMC7166627,2841399,no-cc,"To test whether or not sialodacryoadenitis virus (SDAV) infection in rats affects pulmonary macrophage function, we intranasally inoculated pathogen‐free F344 rats with SDAV and collected alveolar and interstitial macrophages 5 d later. We assessed Fc receptor‐mediated attachment and phagocytosis by phase‐contrast microscopic examination of monolayers of alveolar and interstitial macrophages incubated with zymosan, nonopsonized sheep erythrocytes, or erythrocytes opsonized with rabbit antisheeperythrocyte IgG. Alveolar macrophages from virus‐infected rats had significantly (P ≤ .05) lower indices of attachment and phagocytosis of opsonized erythrocytes than control macrophages, but there was no difference in attachment of zymosan particles. Interstitial macrophages were not affected. Alveolar macrophages from SDAV‐infected rats produced significantly less interleukin‐1 than those from control rats, as assessed by testing supematants from lipopolysaccharide‐stimulated macrophage cultures for induction of mouse thymocytes to take up tritiated thymidine. Effects of SDAV infection on lung macrophages could increase host susceptibility to other pathogens or complicate studies of respiratory tract immunity.",1988-08-01,"Boschert, K.R.; Schoeb, T.R.; Chandler, D.B.; Dillehay, D.L.",J Leukoc Biol,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7166627/,
